"項目","単位","1980_55","1981_56","1982_57","1983_58","1984_59","1985_60","1986_61","1987_62","1988_63","1989_1","1990_2","1991_3","1992_4","1993_5","1994_6","1995_7","1996_8","1997_9","1998_10","1999_11","2000_12","2001_13","2002_14","2003_15","2004_16","2005_17","2006_18","有効数字(少数桁)"
"従業者数（総数）_和歌山市","人","","177671.0","","","","","179399.0","","","","","184080.0","","","…","","187865.0","","","…","","174392.0","","","…","","157094.0",""
"従業者数（総数）_海南市","人","","28338.0","","","","","26479.0","","","","","27431.0","","","…","","25993.0","","","…","","23486.0","","","…","","23430.0",""
"従業者数（総数）_旧海南市","人","","22591.0","","","","","22126.0","","","","","22752.0","","","…","","21223.0","","","…","","19234.0","","","…","","19454.0",""
"従業者数（総数）_旧下津町","人","","5747.0","","","","","4353.0","","","","","4679.0","","","…","","4770.0","","","…","","4252.0","","","…","","3976.0",""
"従業者数（総数）_橋本市","人","","19198.0","","","","","18902.0","","","","","19547.0","","","…","","20404.0","","","…","","20034.0","","","…","","19417.0",""
"従業者数（総数）_旧橋本市","人","","11578.0","","","","","12077.0","","","","","13050.0","","","…","","14130.0","","","…","","14152.0","","","…","","14435.0",""
"従業者数（総数）_旧高野口町","人","","7620.0","","","","","6825.0","","","","","6497.0","","","…","","6274.0","","","…","","5882.0","","","…","","4982.0",""
"従業者数（総数）_有田市","人","","13960.0","","","","","13698.0","","","","","14007.0","","","…","","14192.0","","","…","","13070.0","","","…","","12198.0",""
"従業者数（総数）_御坊市","人","","13643.0","","","","","14102.0","","","","","14673.0","","","…","","15626.0","","","…","","15548.0","","","…","","14304.0",""
"従業者数（総数）_田辺市","人","","31621.0","","","","","32832.0","","","","","35803.0","","","…","","38704.0","","","…","","36633.0","","","…","","34928.0",""
"従業者数（総数）_旧田辺市","人","","26407.0","","","","","27848.0","","","","","30420.0","","","…","","32918.0","","","…","","31326.0","","","…","","30050.0",""
"従業者数（総数）_旧龍神村","人","","1671.0","","","","","1583.0","","","","","1767.0","","","…","","1851.0","","","…","","1831.0","","","…","","1556.0",""
"従業者数（総数）_旧中辺路町","人","","1244.0","","","","","1127.0","","","","","1174.0","","","…","","1135.0","","","…","","1038.0","","","…","","1044.0",""
"従業者数（総数）_旧大塔村","人","","839.0","","","","","841.0","","","","","871.0","","","…","","1048.0","","","…","","960.0","","","…","","918.0",""
"従業者数（総数）_旧本宮町","人","","1460.0","","","","","1433.0","","","","","1571.0","","","…","","1752.0","","","…","","1478.0","","","…","","1360.0",""
"従業者数（総数）_新宮市","人","","19575.0","","","","","18389.0","","","","","19004.0","","","…","","19000.0","","","…","","18174.0","","","…","","17209.0",""
"従業者数（総数）_旧新宮市","人","","18864.0","","","","","17759.0","","","","","18178.0","","","…","","18267.0","","","…","","17464.0","","","…","","16528.0",""
"従業者数（総数）_旧熊野川町","人","","711.0","","","","","630.0","","","","","826.0","","","…","","733.0","","","…","","710.0","","","…","","681.0",""
"従業者数（総数）_紀の川市","人","","14427.0","","","","","15505.0","","","","","18380.0","","","…","","19877.0","","","…","","21096.0","","","…","","21911.0",""
"従業者数（総数）_旧打田町","人","","3252.0","","","","","3311.0","","","","","3861.0","","","…","","4899.0","","","…","","5860.0","","","…","","6154.0",""
"従業者数（総数）_旧粉河町","人","","4395.0","","","","","4190.0","","","","","5024.0","","","…","","5002.0","","","…","","4349.0","","","…","","4878.0",""
"従業者数（総数）_旧那賀町","人","","2100.0","","","","","2273.0","","","","","2556.0","","","…","","2542.0","","","…","","2589.0","","","…","","2511.0",""
"従業者数（総数）_旧桃山町","人","","1838.0","","","","","2288.0","","","","","2716.0","","","…","","2861.0","","","…","","3055.0","","","…","","3454.0",""
"従業者数（総数）_旧貴志川町","人","","2842.0","","","","","3443.0","","","","","4223.0","","","…","","4573.0","","","…","","5243.0","","","…","","4914.0",""
"従業者数（総数）_岩出市（岩出町）","人","","5919.0","","","","","7106.0","","","","","9977.0","","","…","","10804.0","","","…","","9881.0","","","…","","12977.0",""
"従業者数（総数）_紀美野町","人","","4332.0","","","","","4535.0","","","","","4808.0","","","…","","4686.0","","","…","","4285.0","","","…","","3913.0",""
"従業者数（総数）_旧野上町","人","","2931.0","","","","","3009.0","","","","","3419.0","","","…","","3294.0","","","…","","3039.0","","","…","","2806.0",""
"従業者数（総数）_旧美里町","人","","1401.0","","","","","1526.0","","","","","1389.0","","","…","","1392.0","","","…","","1246.0","","","…","","1107.0",""
"従業者数（総数）_かつらぎ町","人","","6938.0","","","","","6595.0","","","","","7572.0","","","…","","7388.0","","","…","","6951.0","","","…","","6364.0",""
"従業者数（総数）_旧かつらぎ町","人","","6680.0","","","","","6351.0","","","","","7292.0","","","…","","7102.0","","","…","","6670.0","","","…","","6144.0",""
"従業者数（総数）_旧花園村","人","","258.0","","","","","244.0","","","","","280.0","","","…","","286.0","","","…","","281.0","","","…","","220.0",""
"従業者数（総数）_九度山町","人","","1436.0","","","","","1389.0","","","","","1354.0","","","…","","1480.0","","","…","","1649.0","","","…","","1428.0",""
"従業者数（総数）_高野町","人","","3157.0","","","","","3087.0","","","","","2951.0","","","…","","3068.0","","","…","","2689.0","","","…","","2662.0",""
"従業者数（総数）_湯浅町","人","","6427.0","","","","","6400.0","","","","","6416.0","","","…","","6450.0","","","…","","6222.0","","","…","","6177.0",""
"従業者数（総数）_広川町","人","","2446.0","","","","","2436.0","","","","","2669.0","","","…","","2833.0","","","…","","2556.0","","","…","","2391.0",""
"従業者数（総数）_有田川町","人","","8176.0","","","","","8682.0","","","","","9874.0","","","…","","10182.0","","","…","","10806.0","","","…","","10810.0",""
"従業者数（総数）_旧吉備町","人","","4039.0","","","","","4669.0","","","","","5674.0","","","…","","6352.0","","","…","","7262.0","","","…","","7555.0",""
"従業者数（総数）_旧金屋町","人","","2148.0","","","","","2199.0","","","","","2346.0","","","…","","2014.0","","","…","","1838.0","","","…","","1788.0",""
"従業者数（総数）_旧清水町","人","","1989.0","","","","","1814.0","","","","","1854.0","","","…","","1816.0","","","…","","1706.0","","","…","","1467.0",""
"従業者数（総数）_美浜町","人","","2359.0","","","","","2428.0","","","","","2358.0","","","…","","2503.0","","","…","","2442.0","","","…","","2393.0",""
"従業者数（総数）_日高町","人","","1584.0","","","","","1600.0","","","","","1689.0","","","…","","1971.0","","","…","","1922.0","","","…","","1908.0",""
"従業者数（総数）_由良町","人","","3261.0","","","","","3145.0","","","","","3214.0","","","…","","2897.0","","","…","","2474.0","","","…","","2482.0",""
"従業者数（総数）_印南町","人","","2417.0","","","","","2659.0","","","","","2720.0","","","…","","3037.0","","","…","","3010.0","","","…","","2748.0",""
"従業者数（総数）_みなべ町","人","","4839.0","","","","","4734.0","","","","","5137.0","","","…","","5827.0","","","…","","6050.0","","","…","","6028.0",""
"従業者数（総数）_旧南部川村","人","","1286.0","","","","","1445.0","","","","","1580.0","","","…","","1894.0","","","…","","2094.0","","","…","","1936.0",""
"従業者数（総数）_旧南部町","人","","3553.0","","","","","3289.0","","","","","3557.0","","","…","","3933.0","","","…","","3956.0","","","…","","4092.0",""
"従業者数（総数）_日高川町","人","","2741.0","","","","","2960.0","","","","","3431.0","","","…","","3913.0","","","…","","3696.0","","","…","","3705.0",""
"従業者数（総数）_旧川辺町","人","","1238.0","","","","","1380.0","","","","","1751.0","","","…","","2043.0","","","…","","2034.0","","","…","","2200.0",""
